Code	Scientific	Common	Reverse
18772	'Emberiza schoeniclus witherbyi'	'NA'	'Emberiza schoeniclus witherbyi'
18780	'Emberiza pallasi'	'Pallas\'s Reed Bunting'	'Emberiza pallasi'
18790	'Emberiza yessoensis'	'Japanese Reed Bunting'	'Emberiza yessoensis'
18800	'Emberiza bruniceps'	'Red-headed bunting'	'Emberiza bruniceps'
18810	'Emberiza melanocephala'	'Black-headed Bunting'	'Emberiza melanocephala'
18819	'Emberiza sp.'	'Aqelqul azegzaw (tawsit)'	'Emberiza'
18820	'Miliaria calandra'	'Corn bunting'	'Miliaria calandra'
18830	'Melophus lathami'	'NA'	'Melophus lathami'
18840	'Spiza americana'	'Dickcissel'	'Spiza americana'
18850	'Pheucticus chrysopeplus'	'Yellow Grosbeak'	'Pheucticus chrysopeplus'
18860	'Pheucticus melanocephalus'	'Black-headed Grosbeak'	'Pheucticus melanocephalus'
18870	'Pheucticus ludovicianus'	'Rose-breasted grosbeak'	'Pheucticus ludovicianus'
18880	'Cardinalis cardinalis'	'Northern cardinal'	'Cardinalis cardinalis'
18890	'Cardinalis sinuatus'	'Pyrrhuloxia'	'Cardinalis sinuatus'
18900	'Rhodothraupis celaeno'	'Crimson-collared Grosbeak'	'Rhodothraupis celaeno'
18910	'Guiraca caerulea'	'NA'	'Guiraca caerulea'
18920	'Passerina cyanea'	'Indigo bunting'	'Passerina cyanea'
18930	'Passerina amoena'	'Lazuli Bunting'	'Passerina amoena'
18940	'Passerina versicolor'	'Varied Bunting'	'Passerina versicolor'
18950	'Passerina ciris'	'Painted Bunting'	'Passerina ciris'
18960	'Passerina leclancherii'	'Orange-breasted Bunting'	'Passerina leclancherii'
18970	'Dolichonyx oryzivorus'	'Bobolink'	'Dolichonyx oryzivorus'
18980	'Molothrus aeneus'	'Bronzed Cowbird'	'Molothrus aeneus'
18990	'Molothrus ater'	'Brown-headed Cowbird'	'Molothrus ater'
19000	'Euphagus cyanocephalus'	'Brewer\'s blackbird'	'Euphagus cyanocephalus'
19010	'Euphagus carolinensis'	'Amerikanturpiaalit'	'Euphagus'
19020	'Quiscalus mexicanus'	'Great-tailed Grackle'	'Quiscalus mexicanus'
19030	'Quiscalus palustris'	'Slender-billed Grackle'	'Quiscalus palustris'
19040	'Quiscalus major'	'Boat-tailed grackle'	'Quiscalus major'
19050	'Quiscalus quiscula'	'common grackle'	'Quiscalus quiscula'
19060	'Sturnella neglecta'	'Horned lark'	'Sturnella neglecta'
19070	'Sturnella magna'	'Eastern Meadowlark'	'Sturnella magna'
19080	'Agelaius tricolor'	'Tricolored Blackbird'	'Agelaius tricolor'
19090	'Agelaius phoeniceus'	'Red-winged Blackbird'	'Agelaius phoeniceus'
19100	'Agelaius humeralis'	'Tawny-shouldered Blackbird'	'Agelaius humeralis'
19110	'Xanthocephalus xanthocephalus'	'Yellow-headed Blackbird'	'Xanthocephalus xanthocephalus'
19120	'Icterus parisorum'	'Scott\'s Oriole'	'Icterus parisorum'
19130	'Icterus graduacauda'	'Audubon\'s Oriole'	'Icterus graduacauda'
19140	'Icterus wagleri'	'Black-vented Oriole'	'Icterus wagleri'
19150	'Icterus dominicensis'	'Hispaniolan Oriole'	'Icterus dominicensis'
19160	'Icterus cucullatus'	'Hooded Oriole'	'Icterus cucullatus'
19170	'Icterus spurius'	'Orchard Oriole'	'Icterus spurius'
19180	'Icterus galbula'	'Baltimore oriole'	'Icterus galbula'
19190	'Icterus pustulatus'	'Streak-backed Oriole'	'Icterus pustulatus'
19200	'Icterus gularis'	'Altamira Oriole'	'Icterus gularis'
19210	'Icterus pectoralis'	'Bolsero, chorcha, chiltote, chocholpía, cholpía (península nicoyana, sobre todo Hojancha y Nicoya), bolsero pechimanchado'	'Icterus pectoralis'
19220	'Cacicus melanicterus'	'NA'	'Cacicus melanicterus'
20010	'Turtur afer'	'Blue-spotted Wood-Dove'	'Turtur afer'
20020	'Thalassoica antarctica'	'Antarctic Petrel'	'Thalassoica antarctica'
