"Code" "Name" "Rev" "Common"
"12080" "Enicurus scouleri" "Enicurus scouleri" "Little forktail"
"12090" "Enicurus schistaceus" "Enicurus schistaceus" "Slaty-backed Forktail"
"12100" "Enicurus leschenaulti" "Enicurus leschenaulti" "White-crowned Forktail"
"12110" "Enicurus maculatus" "Enicurus maculatus" "Spotted forktail"
"12120" "Tesia castaneocoronata" "Tesia castaneocoronata" "NA"
"12130" "Cettia squameiceps" "Cettia" "Grey-sided Bush Warbler"
"12140" "Cettia diphone" "Cettia diphone" "NA"
"12150" "Cettia fortipes" "Cettia fortipes" "NA"
"12160" "Cettia major" "Cettia major" "Chestnut-crowned Bush Warbler"
"12170" "Cettia flavolivacea" "Cettia flavolivacea" "NA"
"12180" "Cettia acanthizoides" "Cettia acanthizoides" "NA"
"12190" "Cettia brunnifrons" "Cettia brunnifrons" "Grey-sided Bush Warbler"
"12200" "Cettia cetti" "Cettia cetti" "Cetti's warbler"
"12210" "Bradypterus thoracicus" "Bradypterus thoracicus" "NA"
"12220" "Bradypterus major" "Bradypterus major" "NA"
"12230" "Bradypterus taczanowskius" "Bradypterus tacsanowskius" "NA"
"12240" "Bradypterus luteoventris" "Bradypterus luteoventris" "NA"
"12250" "Parisoma buryi" "Parisoma" "NA"
"12260" "Cisticola juncidis" "Cisticola juncidis" "Zitting Cisticola"
"12270" "Prinia gracilis" "Prinia gracilis" "Graceful Prinia"
"12280" "Prinia inornata" "Prinia inornata" "Plain Prinia"
"12290" "Prinia criniger" "Prinia criniger" "Striated Prinia"
"12300" "Prinia atrogularis" "Prinia atrogularis" "Black-throated Prinia"
"12310" "Scotocerca inquieta" "Scotocerca inquieta" "Streaked scrub warbler"
"12320" "Rhopophilus pekinensis" "Rhopophilus pekinensis" "Beijing Babbler"
"12330" "Locustella certhiola" "Locustella certhiola" "Burung Cekup Belakang Perang"
"12340" "Locustella ochotensis" "Locustella ochotensis" "Buscarla de Middendorff"
"12350" "Locustella lanceolata" "Locustella lanceolata" "Lanceolated Warbler"
"12360" "Locustella naevia" "Locustella naevia" "Common grasshopper warbler"
"12370" "Locustella fluviatilis" "Locustella fluviatilis" "Eurasian River Warbler"
"12380" "Locustella luscinioides" "Locustella luscinioides" "Savi's Warbler"
"12390" "Locustella fasciolata" "Locustella fasciolata" "Buscarla de Gray"
"12399" "Locustella sp." "Locustella" "Lanceolated Warbler"
"12400" "Megalurus pryeri" "Megalurus pryeri" "Japana grilbirdo"
"12410" "Acrocephalus melanopogon" "Acrocephalus melanopogon" "Moustached Warbler"
"12411" "Acrocephalus melanopogon melanopogon" "Acrocephalus melanopogon melanopogon" "NA"
"12420" "Acrocephalus paludicola" "Acrocephalus paludicola" "Aquatic warbler"
"12430" "Acrocephalus schoenobaenus" "Acrocephalus schoenobaenus" "Sedge warbler"
"12440" "Acrocephalus sorgophilus" "Acrocephalus sorghophilus" "Speckled Reed Warbler"
"12450" "Acrocephalus bistrigiceps" "Acrocephalus bistrigiceps" "Black-browed Reed Warbler"
"12460" "Acrocephalus concinens" "Acrocephalus concinens" "Blunt-winged Warbler"
"12470" "Acrocephalus agricola" "Acrocephalus agricola" "Paddyfield Warbler"
"12480" "Acrocephalus dumetorum" "Acrocephalus dumetorum" "Blyth's Reed Warbler"
"12490" "Acrocephalus brevipennis" "Acrocephalus brevipennis" "Cape Verde Warbler"
"12500" "Acrocephalus palustris" "Acrocephalus palustris" "Marsh Warbler"
"12510" "Acrocephalus scirpaceus" "Acrocephalus scirpaceus" "Eurasian reed warbler"
"12511" "Acrocephalus scirpaceus scirpaceus" "Acrocephalus scirpaceus scirpaceus" "Reed Warbler"
"12512" "Acrocephalus scirpaceus fuscus" "Acrocephalus scirpaceus fuscus" "Caspian Reed Warbler"
"12520" "Acrocephalus stentoreus" "Acrocephalus stentoreus" "Clamorous Reed Warbler"
"12530" "Acrocephalus arundinaceus" "Acrocephalus arundinaceus" "Great reed-warbler"
"12531" "Acrocephalus arundinaceus arundinaceus" "Acrocephalus arundinaceus arundinaceus" "NA"
"12532" "Acrocephalus arundinaceus griseldis" "Acrocephalus arundinaceus" "Great reed-warbler"
"12540" "Acrocephalus aedon" "Acrocephalus aedon" "Dickschnabel-Rohrsänger"
"12549" "Acrocephalus sp." "Acrocephalus" "Cape Verde Warbler"
"12550" "Hippolais pallida" "Hippolais pallida" "Olivaceous warbler"
"12551" "Hippolais pallida pallida" "Hippolais pallida" "Olivaceous warbler"
"12552" "Hippolais pallida opacus" "Hippolais pallida" "Olivaceous warbler"
"12553" "Hippolais pallida elaeica" "Hippolais pallida elaeica" "NA"
"12554" "Hippolais pallida reiseri" "Hippolais pallida" "Olivaceous warbler"
"12555" "Hippolais pallida laeneni" "Hippolais pallida" "Olivaceous warbler"
"12560" "Hippolais caligata" "Hippolais caligata" "Booted Warbler"
"12561" "Hippolais caligata caligata" "Hippolais caligata" "Booted Warbler"
"12562" "Hippolais caligata rama" "Hippolais caligata" "Booted Warbler"
"12570" "Hippolais languida" "Hippolais languida" "Dornspötter"
"12580" "Hippolais olivetorum" "Hippolais olivetorum" "Hypolaïs des oliviers"
"12590" "Hippolais icterina" "Hippolais icterina" "Gelbspötter"
"12600" "Hippolais polyglotta" "Hippolais polyglotta" "Melodious warbler"
"12609" "Hippolais sp." "Hippolais" "Gelbspötter"
"12610" "Sylvia sarda" "Sylvia sarda" "Marmora's warbler"
"12611" "Sylvia sarda sarda" "Sylvia sarda sarda" "NA"
"12612" "Sylvia sarda balearica" "Sylvia sarda balearica" "NA"
"12620" "Sylvia undata" "Sylvia undata" "Dartford warbler"
"12630" "Sylvia deserticola" "Sylvia deserticola" "Tristram's warbler"
"12640" "Sylvia conspicillata" "Sylvia conspicillata" "Spectacled warbler"
"12650" "Sylvia cantillans" "Sylvia cantillans" "Eastern subalpine warbler"
"12651" "Sylvia cantillans cantillans" "Sylvia cantillans cantillans" "NA"
"12652" "Sylvia cantillans moltoni" "Sylvia cantillans moltonii" "NA"
"12653" "Sylvia cantillans albistrata" "Sylvia cantillans albistriata" "NA"
"12660" "Sylvia mystacea" "Sylvia mystacea" "Fauvette de Ménétries"
"12670" "Sylvia melanocephala" "Sylvia melanocephala" "Sardinian warbler"
"12671" "Sylvia melanocephala melanocephala" "Sylvia melanocephala melanocephala" "NA"
"12672" "Sylvia melanocephala leucogastra" "Sylvia melanocephala leucogastra" "NA"
"12680" "Sylvia melanothorax" "Sylvia melanothorax" "Cyprus Warbler"
"12681" "Sylvia melanothorax melanothorax" "Sylvia melanothorax" "Cyprus Warbler"
"12682" "Sylvia melanothorax cypria" "Sylvia melanothorax" "Cyprus Warbler"
"12690" "Sylvia rueppelli" "Sylvia rueppelli" "Rueppell's warbler"
"12700" "Sylvia nana" "Sylvia nana" "Asian Desert Warbler"
"12710" "Sylvia leucomelaena" "Sylvia leucomelaena" "Arabian Warbler"
"12720" "Sylvia hortensis" "Sylvia hortensis" "Fauvette orphée"
"12721" "Sylvia hortensis hortensis" "Sylvia hortensis hortensis" "NA"
"12722" "Sylvia hortensis crassirostris" "Sylvia hortensis" "Fauvette orphée"
"12723" "Sylvia hortensis balchanica" "Sylvia hortensis" "Fauvette orphée"
"12724" "Sylvia hortensis jerdoni" "Sylvia hortensis" "Fauvette orphée"
"12730" "Sylvia nisoria" "Sylvia nisoria" "Barred warbler"
"12740" "Sylvia curruca" "Sylvia curruca" "Lesser whitethroat"
"12741" "Sylvia curruca curruca" "Sylvia curruca curruca" "NA"
"12742" "Sylvia curruca blythi" "Sylvia curruca blythi" "Common Lesser Whitethroat"
"12743" "Sylvia curruca halimodendri" "Sylvia curruca halimodendri" "NA"
"12744" "Sylvia curruca minula" "Sylvia curruca minula" "NA"
"12750" "Sylvia communis" "Sylvia communis" "Common whitethroat"
"12760" "Sylvia borin" "Sylvia borin" "Garden warbler"
"12770" "Sylvia atricapilla" "Sylvia atricapilla" "Blackcap"
"12771" "Sylvia atricapilla atricapilla" "Sylvia atricapilla atricapilla" "NA"
"12772" "Sylvia atricapilla heineken" "Sylvia atricapilla heineken" "NA"
"12779" "Sylvia sp." "Sylvia" "Atʼąątah chʼał bikeeʼ łitsxooígíí"
"12780" "Seicercus burkii" "Seicercus burkii" "Atʼąątah ayáásh bitsiitʼáád łitsooígíí"
"12790" "Abroscopus albogularis" "Abroscopus albogularis" "コシジロムシクイ"
"12800" "Abroscopus schisticeps" "Abroscopus schisticeps" "Black-faced Warbler"
"12810" "Phylloscopus umbrovirens" "Phylloscopus umbrovirens" "Brown Woodland-Warbler"
"12820" "Phylloscopus ricketti" "Phylloscopus ricketti" "Sulphur-breasted Warbler"
"12830" "Phylloscopus cantator" "Phylloscopus cantator" "Yellow-vented Warbler"
"12840" "Phylloscopus davisoni" "Phylloscopus davisoni" "NA"
"12850" "Phylloscopus reguloides" "Phylloscopus reguloides" "Blyth's Leaf-Warbler"
"12860" "Phylloscopus coronatus" "Phylloscopus coronatus" "Eastern Crowned Warbler"
"12870" "Phylloscopus occipitalis" "Phylloscopus occipitalis" "Western Crowned Warbler"
"12880" "Phylloscopus tenellipes" "Phylloscopus tenellipes" "Pale-legged Leaf-Warbler"
"12890" "Phylloscopus ijimae" "Phylloscopus ijimae" "Ijima's Leaf Warbler"
"12900" "Phylloscopus tytleri" "Phylloscopus tytleri" "Tytler's Leaf Warbler"
"12910" "Phylloscopus nitidus" "Phylloscopus nitidus" "Green Warbler"
"12920" "Phylloscopus plumbeitarsus" "Phylloscopus plumbeitarsus" "Two-barred Warbler"
"12930" "Phylloscopus trochiloides" "Phylloscopus trochiloides" "Greenish Warbler"
"12940" "Phylloscopus magnirostris" "Phylloscopus magnirostris" "Large-billed Leaf Warbler"
"12950" "Phylloscopus borealis" "Phylloscopus borealis" "Arctic Warbler"
"12960" "Phylloscopus pulcher" "Phylloscopus pulcher" "Buff-barred Warbler"
"12970" "Phylloscopus maculipennis" "Phylloscopus maculipennis" "Ashy-throated Warbler"
"12980" "Phylloscopus proregulus" "Phylloscopus proregulus" "Pallas's leaf warbler"
"12981" "Phylloscopus proregulus proregulus" "Phylloscopus proregulus" "Pallas's leaf warbler"
"12990" "Phylloscopus subviridis" "Phylloscopus subviridis" "Brooks's Leaf Warbler"
"13000" "Phylloscopus inornatus" "Phylloscopus inornatus" "Yellow-browed warbler"
"13001" "Phylloscopus inornatus inornatus" "Phylloscopus inornatus" "Yellow-browed warbler"
"13002" "Phylloscopus inornatus humei" "Phylloscopus inornatus" "Yellow-browed warbler"
"13010" "Phylloscopus schwarzi" "Phylloscopus schwarzi" "Radde's Warbler"
"13020" "Phylloscopus armandii" "Phylloscopus armandii" "Yellow-streaked Warbler"
"13030" "Phylloscopus fuscatus" "Phylloscopus fuscatus" "Dusky Warbler"
"13040" "Phylloscopus fuligiventer" "Phylloscopus fuligiventer" "Smoky Warbler"
"13050" "Phylloscopus griseolus" "Phylloscopus griseolus" "Sulphur-bellied Warbler"
"13060" "Phylloscopus affinis" "Phylloscopus affinis" "Tickell's Leaf-Warbler"
"13070" "Phylloscopus bonelli" "Phylloscopus bonelli" "Bonelli's warbler"
"13071" "Phylloscopus bonelli bonelli" "Phylloscopus bonelli" "Bonelli's warbler"
"13072" "Phylloscopus bonelli orientalis" "Phylloscopus bonelli" "Bonelli's warbler"
"13080" "Phylloscopus sibilatrix" "Phylloscopus sibilatrix" "Pouillot siffleur"
"13090" "Phylloscopus neglectus" "Phylloscopus neglectus" "Plain Leaf Warbler"
"13100" "Phylloscopus sindianus" "Phylloscopus sindianus" "Mountain Chiffchaff"
"13110" "Phylloscopus collybita" "Phylloscopus collybita" "Common chiffchaff"
"13111" "Phylloscopus collybita collybita" "Phylloscopus collybita collybita" "Common Chiffchaff"
"13112" "Phylloscopus collybita fulvescens" "Phylloscopus collybita" "Common chiffchaff"
"13113" "Phylloscopus collybita tristis" "Phylloscopus collybita tristis" "Kolibiarik ruský"
"13114" "Phylloscopus collybita abietinus" "Phylloscopus collybita abietinus" "Scandinavian Chiffchaff"
"13115" "Phylloscopus collybita ibericus" "Phylloscopus collybita ibericus" "NA"
"13116" "Phylloscopus collybita brehmii" "Phylloscopus collybita brehmii" "NA"
"13117" "Phylloscopus collybita canariensis" "Phylloscopus collybita" "Common chiffchaff"
"13120" "Phylloscopus trochilus" "Phylloscopus trochilus" "Willow warbler"
"13121" "Phylloscopus trochilus trochilus" "Phylloscopus trochilus trochilus" "NA"
"13122" "Phylloscopus trochilus acredula" "Phylloscopus trochilus acredula" "NA"
"13123" "Phylloscopus trochilus yakutensis" "Phylloscopus trochilus yakutensis" "NA"
"13129" "Phylloscopus sp." "Phylloscopus" "Western Crowned Warbler"
"13130" "Regulus calendula" "Regulus calendula" "Ruby-crowned kinglet"
"13140" "Regulus regulus" "Regulus regulus" "Firecrest"
"13141" "Regulus regulus regulus" "Regulus regulus regulus" "NA"
"13142" "Regulus regulus teneriffae" "Regulus regulus teneriffae" "NA"
"13150" "Regulus ignicapillus" "Regulus ignicapillus" "Firecrest"
"13151" "Regulus ignicapillus ignicapillus" "Regulus ignicapilla ignicapilla" "NA"
"13152" "Regulus ignicapillus teneriffae" "Regulus ignicapillus" "Firecrest"
"13153" "Regulus ignicapillus balearicus" "Regulus ignicapilla balearicus" "NA"
"13154" "Regulus madeirensis" "Regulus madeirensis" "Madeira Firecrest"
"13160" "Regulus satrapa" "Regulus satrapa" "Golden-crowned kinglet"
"13169" "Regulus sp." "Regulus" "Firecrest"
"13170" "Leptopoecile sophiae" "Leptopoecile sophiae" "White-browed Tit-warbler"
"13180" "Leptopoecile elegans" "Leptopoecile elegans" "Crested Tit-warbler"
"13190" "Polioptila melanura" "Polioptila melanura" "Black-tailed Gnatcatcher"
"13200" "Polioptila nigriceps" "Polioptila nigriceps" "Black-capped Gnatcatcher"
"13210" "Polioptila caerulea" "Polioptila caerulea" "Blue-gray Gnatcatcher"
"13220" "Niltava grandis" "Niltava grandis" "Large Niltava"
"13230" "Niltava sundara" "Niltava sundara" "Rufous-bellied Niltava"
"13240" "Niltava davidi" "Niltava davidi" "Fujian Niltava"
"13250" "Cyornis vivida" "Cyornis" "Blue-throated Flycatcher"
"13260" "Cyornis rubeculoides" "Cyornis rubeculoides" "Blue-throated Flycatcher"
"13270" "Muscicapa cyanomelana" "Muscicapa" "GobeMouche gris"
"13280" "Muscicapa thalassina" "Muscicapa" "GobeMouche gris"
"13290" "Muscicapa rufilata" "Muscicapa" "GobeMouche gris"
"13300" "Muscicapa sibirica" "Muscicapa sibirica" "Dark-sided Flycatcher"
"13310" "Muscicapa griseisticta" "Muscicapa griseisticta" "Grey-streaked Flycatcher"
"13320" "Muscicapa ruficauda" "Muscicapa ruficauda" "NA"
"13330" "Muscicapa muttui" "Muscicapa muttui" "Brown-breasted Flycatcher"
"13340" "Muscicapa latirostris" "Muscicapa latirostris" "NA"
"13350" "Muscicapa striata" "Muscicapa striata" "Spotted"
"13351" "Muscicapa striata striata" "Muscicapa striata striata" "Papa-moscas-cinzento"
"13352" "Muscicapa striata balearica" "Muscicapa striata balearica" "NA"
"13353" "Muscicapa striata tyrrenica" "Muscicapa striata tyrrhenica" "NA"
"13360" "Muscicapa gambagae" "Muscicapa gambagae" "Gambaga Flycatcher"
"13369" "Muscicapa sp." "Muscicapa" "GobeMouche gris"
"13370" "Ficedula sapphira" "Ficedula sapphira" "Sapphire Flycatcher"
"13380" "Ficedula tricolor" "Ficedula tricolor" "Slaty-blue Flycatcher"
"13390" "Ficedula superciliaris" "Ficedula superciliaris" "Ultramarine Flycatcher"
"13400" "Ficedula hodgsonii" "Ficedula hodgsonii" "Slaty-backed Flycatcher"
"13410" "Ficedula hyperythra" "Ficedula hyperythra" "Snowy-browed Flycatcher"
"13420" "Ficedula strophiata" "Ficedula strophiata" "Rufous-gorgeted Flycatcher"
"13430" "Ficedula parva" "Ficedula parva" "Gobemouche nain"
"13431" "Ficedula parva parva" "Ficedula parva" "Gobemouche nain"
"13432" "Ficedula parva albicilla" "Ficedula parva" "Gobemouche nain"
"13440" "Ficedula mugimaki" "Ficedula mugimaki" "Mugimaki Flycatcher"
"13450" "Ficedula zanthopygia" "Ficedula zanthopygia" "Yellow-rumped Flycatcher"
"13460" "Ficedula narcissina" "Ficedula narcissina" "Narcissus Flycatcher"
"13470" "Ficedula semitorquata" "Ficedula semitorquata" "Gobemouche à demi-collier"
"13480" "Ficedula albicollis" "Ficedula albicollis" "Collared flycatcher"
"13481" "Ficedula albicollis albicollis" "Ficedula albicollis" "Collared flycatcher"
"13482" "Ficedula albicollis semitorquata" "Ficedula albicollis" "Collared flycatcher"
"13490" "Ficedula hypoleuca" "Ficedula hypoleuca" "European pied flycatcher"
"13491" "Ficedula hypoleuca hypoleuca" "Ficedula hypoleuca hypoleuca" "European Pied Flycatcher"
"13492" "Ficedula hypoleuca ibericus" "Ficedula hypoleuca iberiae" "NA"
"13500" "Culicicapa ceylonensis" "Culicicapa ceylonensis" "Gray-headed Canary-Flycatcher"
"13510" "Rhipidura hypoxantha" "Rhipidura hypoxantha" "NA"
"13520" "Rhipidura albicollis" "Rhipidura albicollis" "White-throated Fantail"
"13530" "Terpsiphone viridis" "Terpsiphone viridis" "African Paradise-Flycatcher"
"13540" "Terpsiphone paradisi" "Terpsiphone paradisi" "Asian Paradise-Flycatcher"
"13550" "Terpsiphone atrocaudata" "Terpsiphone atrocaudata" "Japanese Paradise Flycatcher"
"13560" "Pomatorhinus erythrogenys" "Pomatorhinus erythrogenys" "Rusty-cheeked scimitar-babbler"
"13570" "Pomatorhinus ruficollis" "Pomatorhinus ruficollis" "Streak-breasted Scimitar Babbler"
"13580" "Pnoepyga albiventer" "Pnoepyga albiventer" "Scaly-breasted Cupwing"
"13590" "Pnoepyga pusilla" "Pnoepyga pusilla" "Pygmy Cupwing"
"13600" "Spelaeornis troglodytoides" "Spelaeornis troglodytoides" "Bar-winged Wren-Babbler"
"13610" "Stachyris ruficeps" "Stachyris ruficeps" "NA"
"13620" "Moupinia poecilotis" "Moupinia poecilotis" "Rufous-tailed Babbler"
"13630" "Chamaea fasciata" "Chamaea fasciata" "Wrentit"
"13640" "Panurus biarmicus" "Panurus biarmicus" "Bearded parrotbill"
"13650" "Conostoma oemodium" "Conostoma oemodium" "NA"
"13660" "Paradoxornis paradoxus" "Paradoxornis paradoxus" "NA"
"13670" "Paradoxornis unicolor" "Paradoxornis unicolor" "NA"
"13680" "Paradoxornis flavirostris" "Paradoxornis flavirostris" "Black-breasted Parrotbill"
"13690" "Paradoxornis conspicillatus" "Paradoxornis conspicillatus" "NA"
"13700" "Paradoxornis webbianus" "Paradoxornis webbianus" "vinous-throated parrotbill"
"13701" "Paradoxornis webbianus webbianus" "Paradoxornis webbianus" "vinous-throated parrotbill"
"13702" "Paradoxornis webbianus suffusa" "Paradoxornis webbianus" "vinous-throated parrotbill"
"13703" "Paradoxornis webbianus fulvicauda" "Paradoxornis webbianus" "vinous-throated parrotbill"
"13704" "Paradoxornis webbianus mantschurica" "Paradoxornis webbianus" "vinous-throated parrotbill"
"13705" "Paradoxornis webbianus alphonsiana" "Paradoxornis webbianus" "vinous-throated parrotbill"
"13710" "Paradoxornis zappeyi" "Paradoxornis zappeyi" "Grey-hooded parrotbill"
"13720" "Paradoxornis przewalskii" "Paradoxornis przewalskii" "NA"
"13730" "Paradoxornis fulvifrons" "Paradoxornis fulvifrons" "NA"
"13740" "Paradoxornis nipalensis" "Paradoxornis nipalensis" "NA"
"13750" "Paradoxornis verreauxi" "Paradoxornis verreauxi" "NA"
"13760" "Paradoxornis heudei" "Paradoxornis heudei" "Reed Parrotbill"
"13770" "Turdoides altirostris" "Turdoides altirostris" "NA"
"13780" "Turdoides caudatus" "Turdoides caudatus" "NA"
"13790" "Turdoides squamiceps" "Turdoides squamiceps" "Arabian Babbler"
"13800" "Turdoides fulvus" "Turdoides fulvus" "NA"
"13810" "Babax lanceolatus" "Babax lanceolatus" "Chinese babax"
"13820" "Babax waddelli" "Babax waddelli" "NA"
"13830" "Babax koslowi" "Babax koslowi" "NA"
"13840" "Garrulax perspicillatus" "Garrulax perspicillatus" "Masked Laughingthrush"
"13850" "Garrulax albogularis" "Garrulax albogularis" "Charlatán Gorjiblanco"
"13860" "Garrulax pectoralis" "Garrulax pectoralis" "Greater Necklaced Laughingthrush"
"13870" "Garrulax striatus" "Garrulax striatus" "Striated laughingthrush"
"13880" "Garrulax maesi" "Garrulax maesi" "Grey Laughingthrush"
"13890" "Garrulax variegatus" "Garrulax variegatus" "Variegated laughingthrush"
"13900" "Garrulax davidi" "Garrulax davidi" "plain laughing-thrush"
"13910" "Garrulax sukatschewi" "Garrulax sukatschewi" "NA"
"13920" "Garrulax cineraceus" "Garrulax cineraceus" "NA"
"13930" "Garrulax lunulatus" "Garrulax lunulatus" "NA"
"13940" "Garrulax maximus" "Garrulax maximus" "giant laughing-thrush"
"13950" "Garrulax ocellatus" "Garrulax ocellatus" "NA"
"13960" "Garrulax caerulatus" "Garrulax caerulatus" "grey-sided laughing-thrush"
"13970" "Garrulax canorus" "Garrulax canorus" "Chinese Hwamei"
"13980" "Garrulax sannio" "Garrulax sannio" "white-browed laughing-thrush"
"13990" "Garrulax lineatus" "Garrulax lineatus" "NA"
"14000" "Garrulax subunicolor" "Garrulax subunicolor" "NA"
"14010" "Garrulax elliotii" "Garrulax elliotii" "Elliot's laughingthrush"
"14020" "Garrulax henrici" "Garrulax henrici" "NA"
"14030" "Garrulax affinis" "Garrulax affinis" "black-faced laughing-thrush"
"14040" "Garrulax erythrocephalus" "Garrulax erythrocephalus" "Chestnut-crowned laughingthrush"
"14050" "Garrulax formosus" "Garrulax formosus" "red-winged laughing-thrush"
"14060" "Liocichla steerii" "Liocichla steerii" "Steere's Liocichla"
"14070" "Leiothrix lutea" "Leiothrix lutea" "Red-billed Leiothrix"
"14080" "Myzornis pyrrhoura" "Myzornis pyrrhoura" "Fire-tailed Myzornis"
"14090" "Cutia nipalensis" "Cutia nipalensis" "Himalayan Cutia"
"14100" "Pteruthius flaviscapis" "Pteruthius flaviscapis" "Pied Shrike-babbler"
"14110" "Pteruthius xanthochloris" "Pteruthius xanthochlorus" "Green Shrike-babbler"
"14120" "Actinodura nipalensis" "Actinodura nipalensis" "Hoary-throated Barwing"
"14130" "Minla cyanouroptera" "Minla cyanouroptera" "Blauflügelsiva"
"14140" "Minla strigula" "Minla strigula" "Bar-throated Minla"
"14150" "Minla ignotincta" "Minla ignotincta" "Red-tailed Minla"
"14160" "Alcippe chrysotis" "Alcippe chrysotis" "NA"
"14170" "Alcippe cinerea" "Alcippe cinerea" "Yellow-throated Fulvetta"
"14180" "Alcippe castaneceps" "Alcippe castaneceps" "Rufous-winged Fulvetta"
"14190" "Alcippe vinipectus" "Alcippe vinipectus" "NA"
"14200" "Alcippe striaticollis" "Alcippe striaticollis" "NA"
"14210" "Alcippe ruficapilla" "Alcippe ruficapilla" "NA"
"14220" "Alcippe cinereiceps" "Alcippe cinereiceps" "NA"
"14230" "Alcippe brunnea" "Alcippe brunnea" "Dusky Fulvetta"
"14240" "Alcippe morrisonia" "Alcippe morrisonia" "Grey-cheeked Fulvetta"
"14250" "Heterophasia capistrata" "Heterophasia capistrata" "Rufous Sibia"
"14260" "Heterophasia pulchella" "Heterophasia pulchella" "Beautiful Sibia"
"14270" "Yuhina gularis" "Yuhina gularis" "Stripe-throated Yuhina"
"14280" "Yuhina diademata" "Yuhina diademata" "White-collared Yuhina"
"14290" "Yuhina occipitalis" "Yuhina occipitalis" "Rufous-vented Yuhina"
"14300" "Yuhina nigrimenta" "Yuhina nigrimenta" "Black-chinned Yuhina"
"14310" "Psaltriparus minimus" "Psaltriparus minimus" "Bushtit"
"14320" "Aegithalos fuliginosus" "Aegithalos fuliginosus" "Sooty Bushtit"
"14330" "Aegithalos iouschistos" "Aegithalos iouschistos" "Rufous-fronted Bushtit"
"14340" "Aegithalos niveogularis" "Aegithalos niveogularis" "White-throated Bushtit"
"14350" "Aegithalos leucogenys" "Aegithalos leucogenys" "White-cheeked Bushtit"
"14360" "Aegithalos concinnus" "Aegithalos concinnus" "Black-throated Tit"
"14370" "Aegithalos caudatus" "Aegithalos caudatus" "Long-tailed tit"
"14371" "Aegithalos caudatus caudatus" "Aegithalos caudatus caudatus" "Őszapó"
"14372" "Aegithalos caudatus sibiricus" "Aegithalos caudatus" "Long-tailed tit"
"14373" "Aegithalos caudatus japonicus" "Aegithalos caudatus japonica" "NA"
"14374" "Aegithalos caudatus europaeus" "Aegithalos caudatus europaeus" "NA"
"14375" "Aegithalos caudatus rosaceus" "Aegithalos caudatus rosaceus" "NA"
"14380" "Sylviparus modestus" "Sylviparus modestus" "Yellow-browed Tit"
"14390" "Parus superciliosus" "Parus superciliosus" "NA"
"14400" "Parus palustris" "Parus palustris" "NA"
"14410" "Parus lugubris" "Parus lugubris" "NA"
"14420" "Parus montanus" "Parus montanus" "willow tit"
"14421" "Parus montanus montanus" "Parus montanus montanus" "NA"
"14422" "Parus montanus songarus" "Parus montanus" "willow tit"
"14430" "Parus atricapillus" "Parus atricapillus" "black-capped chickadee"
"14440" "Parus carolinensis" "Parus carolinensis" "Carolina chickadee"
"14450" "Parus sclateri" "Parus sclateri" "NA"
"14460" "Parus gambeli" "Parus gambeli" "mountain chickadee"
"14470" "Parus wollweberi" "Parus wollweberi" "bridled titmouse"
"14480" "Parus cinctus" "Parus cinctus" "NA"
"14490" "Parus hudsonicus" "Parus hudsonicus" "NA"
"14500" "Parus rufescens" "Parus rufescens" "NA"
"14510" "Parus bicolor" "Parus bicolor" "tufted titmouse"
"14520" "Parus inornatus" "Parus inornatus" "NA"
"14530" "Parus dichrous" "Parus dichrous" "NA"
"14540" "Parus cristatus" "Parus cristatus" "NA"
"14550" "Parus davidi" "Parus davidi" "NA"
"14560" "Parus venustulus" "Parus venustulus" "Yellow-bellied Tit"
"14570" "Parus varius" "Parus varius" "NA"
"14580" "Parus rufonuchalis" "Parus rufonuchalis" "Rufous-naped Tit"
"14590" "Parus rubidiventris" "Parus rubidiventris" "rufous-vented tit"
"14600" "Parus melanolophus" "Parus melanolophus" "NA"
"14610" "Parus ater" "Parus ater" "NA"
"14611" "Parus ater ater" "Parus ater ater" "NA"
"14620" "Parus caeruleus" "Parus caeruleus" "Blue tit"
"14621" "Parus caeruleus caeruleus" "Parus caeruleus caeruleus" "NA"
"14622" "Parus caeruleus ultramarinus" "Parus caeruleus" "Blue tit"
"14623" "Parus caeruleus pleskii" "Parus caeruleus" "Blue tit"
"14624" "Parus caeruleus palmensis" "Parus caeruleus" "Blue tit"
"14625" "Parus caeruleus teneriffae" "Parus caeruleus" "Blue tit"
"14626" "Parus caeruleus ombriosus" "Parus caeruleus" "Blue tit"
"14627" "Parus caeruleus degener" "Parus caeruleus" "Blue tit"
"14630" "Parus cyanus" "Parus cyanus" "NA"
"14640" "Parus major" "Parus major" "Great Tit"
"14641" "Parus major major" "Parus major major" "NA"
"14642" "Parus major excelsus" "Parus major excelsus" "NA"
"14650" "Parus bokharensis" "Parus bokharensis" "NA"
"14660" "Parus monticolus" "Parus monticolus" "Green-backed Tit"
"14669" "Parus sp." "Parus" "Arıquş"
"14670" "Sitta yunnanensis" "Sitta yunnanensis" "ウンナンゴジュウカラ"
"14680" "Sitta villosa" "Sitta villosa" "チョウセンゴジュウカラ"
"14690" "Sitta krueperi" "Sitta krueperi" "Krueper's Nuthatch"
"14700" "Sitta whiteheadi" "Sitta whiteheadi" "Corsican nuthatch"
"14710" "Sitta ledanti" "Sitta ledanti" "Algerian Nuthatch"
"14720" "Sitta canadensis" "Sitta canadensis" "Red-breasted Nuthatch"
"14730" "Sitta pygmaea" "Sitta pygmaea" "Pygmy Nuthatch"
