"Code" "Name" "Rev" "Common"
"9990" "Delichon nipalensis" "Delichon nipalensis" "Dziłghą́ąʼdi Naakaii Dootłʼizhí Bikéyahdę́ę́ʼ táshchozhii diłhiłígíí"
"10000" "Delichon dasypus" "Delichon dasypus" "Asian House Martin"
"10010" "Delichon urbica" "Delichon urbica" "NA"
"10019" "Hirundinidae" "Hirundinidae" "swallows"
"10020" "Anthus richardi" "Anthus richardi" "Pipit de Richard"
"10030" "Anthus sylvanus" "Anthus sylvanus" "Upland Pipit"
"10040" "Anthus godlewskii" "Anthus godlewskii" "Blyth's Pipit"
"10050" "Anthus campestris" "Anthus campestris" "Tawny Pipit"
"10060" "Anthus berthelotii" "Anthus berthelotii" "Berthelot's Pipit"
"10070" "Anthus similis" "Anthus similis" "Long-billed pipit"
"10080" "Anthus hodgsoni" "Anthus hodgsoni" "Olive-backed Pipit"
"10090" "Anthus trivialis" "Anthus trivialis" "Tree pipit"
"10100" "Anthus gustavi" "Anthus gustavi" "Pechora Pipit"
"10110" "Anthus pratensis" "Anthus pratensis" "Meadow pipit"
"10120" "Anthus cervinus" "Anthus cervinus" "Red-throated Pipit"
"10130" "Anthus roseatus" "Anthus roseatus" "Rosy Pipit"
"10140" "Anthus spinoletta" "Anthus spinoletta" "Water Pipit"
"10141" "Anthus spinoletta spinoletta" "Anthus spinoletta spinoletta" "NA"
"10142" "Anthus spinoletta petrosus" "Anthus spinoletta petrosus" "NA"
"10143" "Anthus spinoletta littoralis" "Anthus spinoletta" "Water Pipit"
"10144" "Anthus spinoletta rubescens" "Anthus spinoletta rubescens" "NA"
"10150" "Anthus spragueii" "Anthus spragueii" "Sprague's pipit"
"10159" "Anthus spp." "Anthus" "Ant"
"10160" "Dendronanthus indicus" "Dendronanthus indicus" "Forest Wagtail"
"10170" "Motacilla flava" "Motacilla flava" "Dark-headed Wagtail"
"10171" "Motacilla flava flava" "Motacilla flava flava" "NA"
"10172" "Motacilla flava flavissima" "Motacilla flava flavissima" "NA"
"10173" "Motacilla flava thunbergi" "Motacilla flava thunbergi" "Dark-headed Wagtail"
"10174" "Motacilla flava feldegg" "Motacilla flava feldegg" "NA"
"10175" "Motacilla flava cinereocapilla" "Motacilla flava cinereocapilla" "NA"
"10176" "Motacilla flava iberiae" "Motacilla flava iberiae" "Alvéola-amarela"
"10177" "Motacilla flava lutea" "Motacilla flava lutea" "NA"
"10178" "Motacilla flava beema" "Motacilla flava beema" "Blueheaded Wagtail"
"10180" "Motacilla citreola" "Motacilla citreola" "Citrine Wagtail"
"10190" "Motacilla cinerea" "Motacilla cinerea" "Gray wagtail"
"10191" "Motacilla cinerea cinerea" "Motacilla cinerea cinerea" "NA"
"10192" "Motacilla cinerea canariensis" "Motacilla cinerea canariensis" "NA"
"10200" "Motacilla alba" "Motacilla alba" "White wagtail"
"10201" "Motacilla alba alba" "Motacilla alba alba" "Indian Pied Wagtail"
"10202" "Motacilla alba yarrellii" "Motacilla alba yarrellii" "Alvéola-branca"
"10203" "Motacilla alba personata" "Motacilla alba personata" "Masked Wagtail"
"10204" "Motacilla alba dukhunensis" "Motacilla alba dukhunensis" "NA"
"10210" "Motacilla grandis" "Motacilla grandis" "Japanese Wagtail"
"10220" "Motacilla maderaspatensis" "Motacilla maderaspatensis" "White-browed Wagtail"
"10230" "Motacilla aguimp" "Motacilla aguimp" "African Pied Wagtail"
"10239" "Motacilla sp." "Motacilla" "Alvéola"
"10240" "Tephrodornis pondicerianus" "Tephrodornis pondicerianus" "Common Woodshrike"
"10250" "Coracina melaschistos" "Coracina melaschistos" "Averla cuculo alinere"
"10260" "Pericrocotus ethologus" "Pericrocotus ethologus" "Long-tailed Minivet"
"10270" "Pericrocotus cinnamomeus" "Pericrocotus cinnamomeus" "Small minivet"
"10280" "Pericrocotus roseus" "Pericrocotus roseus" "Rosy Minivet"
"10290" "Pericrocotus divaricatus" "Pericrocotus divaricatus" "Ashy Minivet"
"10300" "Pericrocotus tegimae" "Pericrocotus tegimae" "Ryukyu Minivet"
"10310" "Spizixos canifrons" "Spizixos canifrons" "Crested Finchbill"
"10320" "Spizixos semitorques" "Spizixos semitorques" "Collared Finchbill"
"10330" "Pycnonotus xanthorrhous" "Pycnonotus xanthorrhous" "Brown-breasted Bulbul"
